Job_Title,Job_Description,Predicted_Category,Required_Skills,Education_Required,Experience_Required
Flutter Developer,"We are looking for hire experts flutter developer. So you are eligible this post then apply your resume.
Job Types: Full-time, Part-time
Salary: ₹20,000.00 - ₹40,000.00 per month
Benefits:
Flexible schedule
Food allowance
Schedule:
Day shift
Supplemental Pay:
Joining bonus
Overtime pay
Experience:
total work: 1 year (Preferred)
Housing rent subsidy:
Yes
Industry:
Software Development
Work Remotely:
Temporarily due to COVID-19",Technology/IT,['Flutter'],Not specified,1 year (Preferred)
Django Developer,"PYTHON/DJANGO (Developer/Lead) - Job Code(PDJ - 04)
Strong Python experience in API development (REST/RPC).
Experience working with API Frameworks (Django/flask).
Experience evaluating and improving the efficiency of programs in a Linux environment.
Ability to effectively handle multiple tasks with a high level of accuracy and attention to detail.
Good verbal and written communication skills.
Working knowledge of SQL.
JSON experience preferred.
Good knowledge in automated unit testing using PyUnit.",Technology/IT,"['Python', 'API development (REST/RPC)', 'Django', 'Flask', 'Linux environment', 'SQL', 'JSON', 'Automated unit testing (PyUnit)', 'Verbal and written communication']",Not specified,Not specified
Machine Learning,"Data Scientist (Contractor)

Bangalore, IN

Responsibilities

We are looking for a capable data scientist to join the Analytics team, reporting locally in India Bangalore. This person’s responsibilities include research, design and development of Machine Learning and Deep Learning algorithms to tackle a variety of Fraud oriented challenges. The data scientist will work closely with software engineers and program managers to deliver end-to-end products, including: data collection in big scale and analysis, exploring different algorithmic approaches, model development, assessment and validation – all the way through production.

Qualifications

At least 3 years of hands-on development of complex Machine Learning models using modern frameworks and tools, ideally Python based.
Solid understanding of statistics and applied mathematics
Creative thinker with a proven ability to tackle open problems and apply non-trivial solutions.
Experience in software development using Python, Java or a similar language.
Any Graduate or M.Sc. in Computer Science, Mathematics or equivalent, preferably in Machine Learning
Ability to write clean and concise code
Quick learner, independent, methodical, and detail oriented.
Team player, positive attitude, collaborative, good communication skills.
Dedicated, makes things happen.
Flexible, capable of making decisions in an ambiguous and changing environment.

Advantages:

Prior experience as a software developer or data engineer – advantage
Experience with Big data – advantage
Experience with Spark – big advantage
Experience with Deep Learning frameworks (PyTorch, TensorFlow, Keras) – advantage.
Experience in the Telecommunication domain and/or Fraud prevention - advantage",Technology/IT,"['Machine Learning', 'Deep Learning', 'Python', 'Java', 'Statistics', 'Applied Mathematics', 'Big Data', 'Spark', 'PyTorch', 'TensorFlow', 'Keras', 'Fraud detection', 'Telecommunication domain']","Graduate or M.Sc. in Computer Science, Mathematics or equivalent, preferably in Machine Learning",3+ years
iOS Developer,"JOB DESCRIPTION:

Strong framework outside of iOS is always a plus

iOS experience and generalist engineers with backgrounds in related technologies is a plus

A disciplined approach to development, documentation and file structure

Strong visual design sense and excellent taste

A constant desire to improve, learn more and take things higher

An excellent understanding of networking, mobile network issues, concurrency and threading

Experience working with internationalized apps

RESPONSIBILITIES
Design and build advanced applications for the iOS platform.
Collaborate with cross-functional teams to define, design, and ship new features..
Work on bug fixing and improving application performance.
Continuously discover, evaluate, and implement new technologies to maximize development efficiency.
Have published one or more iOS apps in the app store.
A deep familiarity with Objective-C and Cocoa Touch.
Experience working with iOS frameworks such as Core Data, Core Animation, Core Graphics and Core Text.
Experience with third-party libraries and APIs.
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies.
Solid understanding of the full mobile development life cycle.
Responsible for working on different layers of the iOS apps.
Help architect and maintain our set of native mobile applications.",Technology/IT,"['iOS development', 'Objective-C', 'Cocoa Touch', 'Core Data', 'Core Animation', 'Core Graphics', 'Core Text', 'Third-party libraries and APIs', 'Networking', 'Mobile network issues', 'Concurrency and threading', 'Internationalization', 'Visual design sense', 'Documentation and file structure', 'App Store publishing', 'Mobile architecture and emerging technologies', 'Full mobile development life cycle']",Not specified,Not specified
Full Stack Developer,job responsibility full stack engineer – react role make impact petsmart transforming engineering team meet need rapidly changing retail environment role foundational helping build craft petsmart ’ prowess making react j native key framework across mobile web property working across web mobile application part building amazing mobile first customer experience impact customer store digital channel goal responsibility include act full stack developer across petsmart ’ various web mobile solution full stack engineer help build petsmart ’ competency using react j native across mobile web property partner web engineering team strategy share component across application best practice new advancement react community work product ux team review design concept offer suggestion decrease complexity maintaining spirit experience proactively make recommendation technical enhancement better performance scalability maintainability accountable delivering agile environment creates/oversees completion technical development mobile web solution work cross functional business team design develop solution based business requirement identify area improvement design implementation process tooling automated testing quality assurance mentor le experienced developer remain current latest web technology seeking integrate solution appropriate ’ bring table 5+ year hands-on experience web development 2+ year recent experience working react strong experience various j library framework redux angular vue etc expert understanding javascript html cs restful apis http networking concept full stack web development architecture expertise experience mvc object-oriented programming concept experience implementing responsive design adaptive design demonstrated strong front-end development skill especially concerning accessibility extensibility client-side computing object-oriented design pattern object-oriented cs experience sass/less/postcss framework demonstrated passion user experience design usability familiar experienced making use open source component ability address short term tactical requirement without losing site longer range strategic direction self-motivated discipline meet deadline speed accuracy professional attitude excellent written oral communication skill excellent analytical trouble-shooting skill collaborative team player ability resolve conflict constructive manner work around obstacle ensure project success b computer science equivalent team ’ growing faster pace ever investing heavily cutting-edge technology importantly _our people._ petsmart team ’ department valued business partner every area company every level associate empowered come innovative idea strategic impact business ’ take pride work “ ” behind all—for love pet click meet mike goodwin petsmart ’ cio ’ love home office offer outstanding amenity fun rewarding workplace including pet friendly environment bring pet work ! work-life balance family event movie night art event holiday festival “ top dog ” gym equipment fitness class massage therapist personal trainer “ sit & stay ” café serving fresh breakfast lunch option starbucks cart—productivity finest ! “ lil ’ paw ” learning center onsite childcare facility volunteer event petsmart charity submit resume,Technology/IT,"['React', 'React Native', 'JavaScript', 'HTML', 'CSS', 'RESTful APIs', 'HTTP networking', 'MVC architecture', 'Object-oriented programming', 'Responsive design', 'Adaptive design', 'Accessibility', 'Extensibility', 'Client-side computing', 'Object-oriented design patterns', 'Sass/Less/PostCSS', 'Redux', 'Angular', 'Vue', 'Automated testing', 'Quality assurance', 'Agile development']",Not specified,"5+ years web development, 2+ years recent React experience"
Java Developer,"Software Developer - Integration*
Immediate Opening!*
A dynamic Akron / Cleveland area company is looking for an experienced software developer. The Integration Developer designs, develops, tests, maintains and enhances multiple systems serving internal users as well as our suppliers and customers. The Integration Developer interacts with IT and other internal business partners to deliver systems that advance company strategy and improve the enterprise capability of IT.
Candidates need to demonstrate experience in the following skillsets: *
· Proven technical expertise in the design, development, coding, testing, and debugging of enterprise software.

· Strong knowledge of web services (WSDL, Soap, Restful).

· Experience working with relational databases.

· Experience authoring and maintaining data access and / or database queries.

· Familiar with standard software design patterns, methodologies, and the MVC architecture.

· Proficient in the following technologies: C#, .NET, .NET Core, HTML5, CSS3, MsSQL, MySQL, ReactJS.

· Experience working with and/or administering Microsoft IIS

· Experience with SYSPRO’s ERP package a plus but not required
Candidates must be able to execute the following functions: *
· Creates and deploys code and configuration associated with support and project work across our application portfolio.

· Assists in creating, evolving and standardizing technical processes such as source code management, continuous integration, etc.

· Submits code and configuration with high levels of quality, performance, security, scalability and extensibility.

· Assists in the creation and evaluation of business requirements and project plans.
Other requirements include: *
· Takes pride in delivering work on time and with quality

· Good problem solving and decision making abilities

· Ability to learn quickly in a fast-paced environment

· Ability to both work independently and with teams

· Effectively juggles a continuous mix of support and project work

· Able to work off hours / provide on-call support when needed

The ideal candidate must be a self-starter, able to work independently, and have experience in the skillsets mentioned above. This position requires a highly responsible and organized individual with a good work ethic and a minimum of two years of experience using the tools and technologies noted above.

Compensation is commensurate with experience.
Industries* - Manufacturing-Other
Education* - Bachelor's Degree in Computer Science, Information Systems, or related field, or combination of education and equivalent work experience.
Job Type: Contract

Experience:
Software development: 2 years (Required)
Work Location:
One location
Work Remotely:
No",Technology/IT,"['C#', '.NET', '.NET Core', 'HTML5', 'CSS3', 'ReactJS', 'MsSQL', 'MySQL', 'Web services (WSDL, SOAP, RESTful)', 'Relational databases', 'Data access and database queries', 'Software design patterns', 'MVC architecture', 'Microsoft IIS', 'SYSPRO ERP (plus)']","Bachelor's Degree in Computer Science, Information Systems, or related field",2 years
Full Stack Developer,senior full stack developer \- 1800026h cwt looking senior full stack developer proven back-end skill well strong front-end skill role ’ use cutting-edge technology help develop next generation business travel solution million user worldwide participate lead architecture review technology standard definition lead effort find implement support new technology framework standard experiment implement propose new process technology develop back-end system designed scale analyze business software requirement develop back-end software test learn new technology broaden tech stack provide tier 3 production support handle live production issue participate develop agile software development process qualification b.sc degree computer science engineering relevant field equivalent industry experience minimum 2 year experience developing following nodejs java experience nosql solution mongodb elasticsearch redis experience react/angular knowledge single-page application spa development advantage experience javascript cs html responsive ui & cross browser advantage experienced developing rich large-scale web application advantage experience developing robust http apis back-end service passion technology building product team player excellent interpersonal skill self-motivated independent learner eligible candidate must valid passport able travel israel 6 week training shortly hired primary location us-il-chicago work home employment type standard job family information technology scope global travel yes 15 time shift day job organization p & t_hotel product experience level 3 5 year job posting may 9 2018 equal opportunity employer/affirmative action employer organization discriminate employment practice due applicant ’ race color religion sex national origin veteran status disability status sexual orientation gender identity federal state local protected class,Technology/IT,"['Node.js', 'Java', 'MongoDB', 'Elasticsearch', 'Redis', 'React', 'Angular', 'JavaScript', 'HTML', 'CSS', 'Single-Page Application (SPA) development', 'Responsive UI', 'Cross-browser compatibility', 'HTTP API development', 'Back-end services', 'Tier 3 production support', 'Agile software development']",B.Sc. degree in Computer Science or Engineering,2+ years
JavaScript Developer,"Job Description:

ReactJS + NodeJs, Azure Functions, and GraphQL capability

Strong hands on experience on javascript frameworks like reactjs
Having hands on experience on nodejs
Hands on experience on Azure function and integrations
Strong hands on experience on HTML5/CSS3/Javascript
Excellent written and verbal communication.
Knowledge of REST as well as GRAPHQL
Experience Range:

3 - 8 years

Educational Qualifications:

Any graduation, and Any PG and Any Doctorate

Job Responsibilities:

Implementing visual components & building rich UI for complex internal and external systems.
Taking ownership of modules, and building the foundation of new systems which are inline with improved quality, process & productivity
Have a passion for quality and writing clean, solid, readable code that scales and performs well.

Skills Required :

ReactJS, NodeJS, Azure Functions, GraphQL,

Job Code : #KL-DP3PZB64",Technology/IT,"['ReactJS', 'NodeJS', 'Azure Functions', 'GraphQL', 'HTML5', 'CSS3', 'JavaScript', 'REST']","Any graduation, PG, Doctorate",3-8 years
DevOps Engineer,"Main Responsibilities and Deliverables:
Manage/support the rollout, scalability and execution of the automation as it is consumed by the various teams
Ensure automation services scales to handle rapid growth
Using the automations, establish the ability to measure and optimize system health and performance.
On an ongoing basis; configure, tune and troubleshoot automations to achieve optimal application performance and stability
Strong scripting experience with; Bash, Ruby, Python, Java.
Solid experience working with commercial grade automated deployment & configuration mgmt. tools such as; Puppet, Chef, Cloudify, CFEngine. (Puppet skills strongly coveted.)
Strong “hands-on” experience with open source and provisioning tools such as; Cobbler, Foreman, PHP, and Linux or other likewise open source systems, tools /utilities.
Strong senior level Linux & Windows OS experience & troubleshooting skills
Experience with application debugging, performance, scalability & capacity planning expertise
Manage full system lifecycle of automations including configuration and code deployment in user acceptance test and production environments
Improve automated product performance health checks and “self-healing” capabilities in complex highly available Cloud environments.
Participates and assists to drive the automation tools roadmap to increase availability, performance and reduce support demands.
Drive the adoption of Infrastructure as Code in a DevOps oriented organization
Partner with R&D teams to engineer resilient, supportable and scalable products
Architect solutions to leverage the best of Cloud infrastructure
Experience with tools and software such as Urban Code, Hadoop, Tomcat, Mule, OpenAM and Apache
Experience with F5 load balancers, networking theory and protocols (TCP/IP, HTTP, NTP, DNS) and hardware components.",Technology/IT,"['Bash', 'Ruby', 'Python', 'Java', 'Puppet', 'Chef', 'Cloudify', 'CFEngine', 'Cobbler', 'Foreman', 'PHP', 'Linux', 'Windows OS', 'Application debugging', 'Performance optimization', 'Scalability', 'Capacity planning', 'Infrastructure as Code', 'Cloud infrastructure', 'Urban Code', 'Hadoop', 'Tomcat', 'Mule', 'OpenAM', 'Apache', 'F5 load balancers', 'TCP/IP', 'HTTP', 'NTP', 'DNS']",Not specified,Not specified
Software Engineer,"Overview


Based in Silicon Valley, Tintri is a wholly owned subsidiary of DataDirect Networks (DDN.com), the data-at-scale powerhouse and world’s largest privately held storage company. Tintri solutions serve the needs of enterprise data centres with intelligent infrastructure. Our product portfolio includes advanced technologies from Tintri (acquired September 2018), Nexenta (acquired May 2019), and IntelliFlash (acquired from Western Digital November 2019). This portfolio offers a fresh choice and a new experience to elevate your user experiences through automation, analytic insight, and tight integration with application workflows for your enterprise applications, including mission-critical databases and business applications, virtualization, and flexible software defined solutions. Learn more about the Tintri portfolio of solutions at https://www.tintri.com/products

Tintri is looking for motivated and passionate individuals that are self-motivated in their work and careers but we are valuing and thriving in an environment where collaboration and teamwork are at best. We are all together on a quest to provide game changing storage solutions.

Job Description


Job Location: Pune

RED Senior Software Engineer – REST API Dev

Job Description

Responsibilities:

We are looking for a Senior Software Engineer for our RED Tintri Storage engineering team who will design, build and deliver the configuration and deployment tools of DDN RED software storage product:
Participate in the definition and implementation of the RED REST API allowing to configure, deploy and manage the RED solution on premises and on cloud.
Participate in the system tools definition and implementation providing interaction with the storage deployments to perform analytics and provide value-added services to customers and users.
Development competencies:
Knowledge of REST API
Strong experience in developing and debugging C/C++ for Linux/Unix
Experience in developing with Python, Go
Experiences with Git, Gerrit and Jenkins
Very good written/verbal communication skills in English
The ideal candidate has knowledge of and experience in several of the following subjects:
Knowledge of configuration and deployment large systems on cloud or on premise
Knowledge of deployment on VMs and containers
Knowledge of development or utilization of control or data plane API for systems' management
Skills and Experience:
Minimum 7 years of software development experience
Excellent written/verbal communication skills
Excellent time management skills, with the ability to independently prioritize, multitask, and work under deadlines in a fast paced environment
Strong interpersonal skills and ability to interact effectively with program staff
Strong team player
Highly effective analytical, problem solving, decision making and influencing capabilities
Storage industry experience desired.
Minimum of BS or MS; computer engineering, computer science or related technical field.",Technology/IT,"['REST API development', 'C/C++ programming for Linux/Unix', 'Python', 'Go', 'Git', 'Gerrit', 'Jenkins', 'Configuration and deployment of large systems on cloud or on-premise', 'VMs and containers', 'Control or data plane API for system management', 'Storage industry knowledge']","BS or MS in Computer Engineering, Computer Science or related field",7+ years of software development experience
