scheme_code,scheme_name,fund_house,scheme_type,scheme_category,net_asset_value,date
100027,Grindlays Super Saver Income Fund-GSSIF-Half Yearly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.7205,29-05-2008
100028,Grindlays Super Saver Income Fund-GSSIF-Quaterly Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.6191,29-05-2008
100029,Grindlays Super Saver Income Fund-GSSIF-Growth,Standard Chartered Mutual Fund,Open Ended Schemes,Income,18.9736,29-05-2008
100030,Grindlays Super Saver Income Fund-GSSIF-Annual Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.7115,29-05-2008
100031,Grindlays Super Saver Income Fund-GSSIF - ST-Dividend,Standard Chartered Mutual Fund,Open Ended Schemes,Income,10.1053,29-05-2008
100032,Grindlays Super Saver Income Fund-GSSIF - ST-Growth,Standard Chartered Mutual Fund,Open Ended Schemes,Income,16.4299,29-05-2008
100033,Aditya Birla Sun Life Equity Advantage Fund - Regular Growth,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,671.4,27-10-2023
100034,Aditya Birla Sun Life Equity Advantage Fund -Regular - IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Equity Scheme - Large & Mid Cap Fund,111.76,27-10-2023
100035,Birla Sun Life Freedom Fund-Plan A (Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,14.55,21-10-2011
100036,Birla Sun Life Freedom Fund-Plan B (Growth),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,30.91,21-10-2011
100037,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,13.0014,27-10-2023
100038,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Medium to Long Duration Fund,109.0129,27-10-2023
100041,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,108.0443,28-10-2023
100042,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,607.0361,28-10-2023
100043,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,622.9446,28-10-2023
100044,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,163.7254,28-10-2023
100046,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100.2139,28-10-2023
100047,Aditya Birla Sun Life Liquid Fund - Growth,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,374.0696,28-10-2023
100048,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,108.2261,28-10-2023
100049,Aditya Birla Sun Life Cash Plus-Institutional - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10.821,11-02-2011
100051,Aditya Birla Sun Life Liquid Fund -weekly IDCW,Aditya Birla Sun Life Mutual Fund,360 ONE Mutual Fund,Formerly Known as IIFL Mutual Fund,100.2495,28-10-2023
100052,Aditya Birla Sun Life Cash Plus-Institutional Premium - Fortnightly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10,16-02-2011
100053,Aditya Birla Sun Life Cash Plus-Institutional Premium Plan-Monthly Dividend,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10,15-02-2011
100054,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Quarterly Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10.8119,11-12-2015
100055,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,32.2187,11-12-2015
100056,Aditya Birla Sun Life Gilt Plus - Liquid Plan - Annual Dividend - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,10.8838,11-12-2015
100057,Aditya Birla Sun Life Govenment Securities Fund -Regular - Quarterly IDCW,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,10.9796,27-10-2023
100058,Aditya Birla Sun Life Government Securities Fund  - Growth - Regular Plan,Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Debt Scheme - Gilt Fund,70.2218,27-10-2023
100059,Aditya Birla Sun Life Gilt Plus-PF Plan (Annual Dividend),Aditya Birla Sun Life Mutual Fund,Open Ended Schemes,Income,5,22-02-2013
